;div;h1;h2;h3;h4;h5;h6;img;form;fieldset;legend;label;input;labelsAssociados;script;article;section;nav;footer;video;audio;object;applet;table;tr;th;td;caption;style;links;ul;ol;li;dl;dt;dd;alt;roles.alert;roles.alertdialog;roles.application;roles.article;roles.banner;roles.button;roles.checkbox;roles.columnheader;roles.combobox;roles.complementary;roles.contentinfo;roles.definition;roles.dialog;roles.directory;roles.document;roles.form;roles.grid;roles.gridcell;roles.group;roles.heading;roles.img;roles.link;roles.listbox;roles.listitem;roles.log;roles.main;roles.marquee;roles.math;roles.menu;roles.menubar;roles.menuitem;roles.menuitemcheckbox;roles.menuitemradio;roles.navigation;roles.note;roles.option;roles.presentation;roles.progressbar;roles.radio;roles.radiogroup;roles.region;roles.row;roles.rowgroup;roles.rowheader;roles.scrollbar;roles.search;roles.separator;roles.slider;roles.spinbutton;roles.status;roles.tab;roles.tablist;roles.tabpanel;roles.textbox;roles.timer;roles.toolbar;roles.tooltip;roles.tree;roles.treegrid;roles.treeitem;arialabel;arialabelledby;ariadescribedby
;82;0;1;0;0;0;0;9;3;0;0;12;38;12;15;0;0;0;0;0;0;0;0;5;17;0;39;0;1;0;1;0;11;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;89;0;1;0;0;0;0;8;3;0;0;12;37;12;18;0;0;0;0;0;0;0;0;5;18;0;41;0;1;0;1;0;11;0;0;0;8;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;88;1;2;0;0;0;0;9;3;0;0;8;38;8;17;0;0;0;0;0;0;0;0;4;9;0;23;0;1;0;1;0;11;0;0;0;9;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
;98;2;2;0;0;0;0;11;3;0;0;8;36;8;17;0;0;0;0;0;0;0;0;5;11;0;41;0;2;0;1;0;11;0;0;0;11;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;83;2;2;0;0;0;0;10;3;0;0;7;36;7;17;0;0;0;0;0;0;0;0;5;11;0;41;0;2;0;1;0;11;0;0;0;10;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;87;2;2;0;0;0;0;10;3;0;0;7;35;7;17;0;0;0;0;0;0;0;0;5;12;0;42;0;2;0;1;0;11;0;0;0;10;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;89;2;2;0;0;0;0;10;3;0;0;7;34;7;17;0;0;0;0;0;0;0;0;5;12;0;42;0;2;0;1;0;11;0;0;0;10;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;87;1;1;0;0;0;0;8;4;0;0;7;37;7;20;0;0;0;0;0;0;0;0;5;12;0;45;0;1;0;1;0;11;0;0;0;8;1;0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
YOUTUBE;30;0;0;0;0;0;0;27;2;0;0;0;6;0;10;0;0;0;0;0;0;0;0;12;21;0;59;0;1;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;153;0;0;0;0;0;0;149;2;0;0;0;7;0;12;0;0;0;0;0;0;0;0;41;66;0;184;0;1;0;1;0;3;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;112;3;0;1;1;0;0;67;3;0;0;0;7;0;15;0;0;0;0;0;0;0;0;35;39;0;71;0;1;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;240;0;0;0;0;0;0;102;5;0;0;0;13;0;31;0;0;0;0;0;0;1;0;16;21;0;47;0;1;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;268;1;0;1;0;0;0;124;5;0;0;0;12;0;29;0;0;0;0;0;0;0;0;21;38;0;95;0;1;0;1;0;4;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
